chr	start	end
chr1	9998	10465
chr1	28909	29874
chr1	28909	29874
chr1	389080	389550
chr1	565046	565257
chr1	566099	566738
chr1	566099	566738
chr1	567273	567672
chr1	567273	567672
chr1	601110	601402
chr1	713761	714535
chr1	762184	763427
chr1	762184	763427
chr1	762184	763427
chr1	780888	781725
chr1	780888	781725
chr1	805104	805467
chr1	839749	840560
chr1	856289	856804
chr1	859164	859642
chr1	860807	861127
chr1	876945	877946
chr1	876945	877946
chr1	894627	894967
chr1	895890	896691
chr1	895890	896691
chr1	901757	902605
chr1	911398	912041
chr1	919649	919932
chr1	934339	934679
chr1	935399	936144
chr1	937065	937425
chr1	940474	941037
chr1	941837	942161
chr1	948647	949155
chr1	954737	955752
chr1	954737	955752
chr1	960081	960659
chr1	968020	969249
chr1	968020	969249
chr1	975419	976313
chr1	994444	995289
chr1	1003965	1004978
chr1	1003965	1004978
chr1	1014857	1016017
chr1	1014857	1016017
chr1	1014857	1016017
chr1	1014857	1016017
chr1	1051254	1052256
chr1	1057436	1057731
chr1	1060203	1060858
chr1	1060203	1060858
chr1	1072500	1072863
chr1	1092823	1093906
chr1	1092823	1093906
chr1	1109206	1109612
chr1	1111687	1112002
chr1	1136380	1137281
chr1	1136380	1137281
chr1	1141695	1142126
chr1	1166935	1167887
chr1	1166935	1167887
chr1	1184533	1184819
chr1	1185524	1185813
chr1	1208831	1209882
chr1	1225482	1225776
chr1	1227316	1227834
chr1	1242791	1244112
chr1	1242791	1244112
chr1	1259656	1260627
chr1	1259656	1260627
chr1	1268025	1268260
chr1	1284435	1285370
chr1	1289957	1290240
chr1	1290712	1290925
chr1	1295813	1296102
chr1	1310376	1311111
chr1	1317659	1318115
chr1	1334277	1335424
chr1	1342397	1343188
chr1	1350414	1351115
chr1	1367294	1367545
chr1	1368480	1368838
chr1	1370945	1371359
chr1	1373468	1373832
chr1	1376233	1376497
chr1	1383824	1384125
chr1	1406608	1407748
chr1	1440541	1441092
chr1	1446996	1448155
chr1	1446996	1448155
chr1	1474947	1475256
chr1	1475542	1476301
chr1	1509432	1510570
chr1	1509432	1510570
chr1	1521763	1521971
chr1	1535021	1535283
chr1	1535506	1535823
chr1	1550581	1551716
chr1	1567120	1567835
chr1	1580389	1580795
chr1	1590238	1590960
chr1	1623808	1625196
chr1	1623808	1625196
chr1	1623808	1625196
chr1	1631849	1632326
chr1	1655479	1656367
chr1	1677151	1678426
chr1	1677151	1678426
chr1	1709422	1710834
chr1	1709422	1710834
chr1	1758586	1758786
chr1	1778569	1778932
chr1	1790204	1790969
chr1	1795992	1796204
chr1	1814648	1815066
chr1	1822236	1823298
chr1	1822236	1823298
chr1	1840055	1840812
chr1	1850214	1851343
chr1	1875375	1875903
chr1	1891355	1891759
chr1	1935092	1935591
chr1	1950732	1951206
chr1	1960297	1960550
chr1	1980978	1982319
chr1	1980978	1982319
chr1	2029484	2029788
chr1	2047465	2047688
chr1	2064510	2065277
chr1	2105670	2105991
chr1	2120859	2121329
chr1	2126119	2127036
chr1	2126119	2127036
chr1	2130788	2131012
chr1	2136013	2136337
chr1	2136699	2137302
chr1	2144007	2144670
chr1	2158622	2159481
chr1	2160736	2161059
chr1	2201981	2202332
chr1	2203471	2203867
chr1	2207431	2207704
chr1	2210476	2211037
chr1	2242963	2243205
chr1	2245793	2246803
chr1	2253560	2253881
chr1	2313256	2313543
chr1	2322605	2323521
chr1	2337975	2338343
chr1	2343626	2344826
chr1	2365077	2365283
chr1	2375204	2375505
chr1	2383434	2383831
chr1	2399435	2399688
chr1	2457453	2458395
chr1	2477342	2478657
chr1	2477342	2478657
chr1	2507443	2507654
chr1	2509642	2510092
chr1	2517586	2518781
chr1	2517586	2518781
chr1	2574056	2575044
chr1	2585179	2585627
chr1	2986182	2986849
chr1	3021947	3022689
chr1	3031579	3032147
chr1	3053308	3053825
chr1	3087445	3087957
chr1	3135873	3136394
chr1	3164245	3164665
chr1	3164245	3164665
chr1	3166572	3167300
chr1	3200382	3200691
chr1	3229820	3230313
chr1	3236612	3237607
chr1	3236612	3237607
chr1	3247324	3247632
chr1	3255259	3255491
chr1	3265752	3266495
chr1	3268986	3269501
chr1	3286278	3286891
chr1	3301453	3301665
chr1	3309881	3310860
chr1	3334608	3335033
chr1	3341378	3341694
chr1	3347968	3348396
chr1	3370871	3371937
chr1	3387814	3388670
chr1	3399083	3399426
chr1	3407872	3408470
chr1	3418612	3419104
chr1	3447086	3448568
chr1	3447086	3448568
chr1	3481918	3482315
chr1	3503836	3504471
chr1	3527594	3528644
chr1	3527594	3528644
chr1	3530114	3530461
chr1	3535446	3535839
chr1	3540925	3542138
chr1	3566446	3566816
chr1	3569061	3569512
chr1	3585331	3585656
chr1	3591565	3591855
chr1	3600736	3601059
chr1	3612104	3612414
chr1	3634583	3634856
chr1	3640734	3641187
chr1	3663517	3664117
chr1	3667147	3667582
chr1	3688717	3689659
chr1	3688717	3689659
chr1	3712792	3713501
chr1	3773257	3774411
chr1	3773257	3774411
chr1	3816459	3818051
chr1	3816459	3818051
chr1	3816459	3818051
chr1	3827445	3827837
chr1	4216224	4216496
chr1	4244115	4244389
chr1	4327748	4328173
chr1	4522807	4523054
chr1	4589697	4590167
chr1	4716357	4716628
chr1	4771009	4771775
chr1	4830884	4831082
chr1	5025150	5025776
chr1	5179502	5179825
chr1	5286048	5286739
chr1	5301477	5301936
chr1	5415484	5415721
chr1	5542020	5542289
chr1	5574010	5574247
chr1	5574507	5574844
chr1	5575704	5576360
chr1	5657707	5658799
chr1	5657707	5658799
chr1	5680755	5681355
chr1	5707223	5707523
chr1	5712491	5713183
chr1	5712491	5713183
chr1	5742126	5742634
chr1	5788895	5789689
chr1	5788895	5789689
chr1	5800985	5801366
chr1	5805810	5806484
chr1	5812550	5812798
chr1	5831282	5831716
chr1	5907251	5907656
chr1	5937895	5938147
chr1	5956802	5957329
chr1	5975248	5975468
chr1	6040352	6040957
chr1	6051970	6053119
chr1	6062802	6063213
chr1	6067175	6067529
chr1	6094146	6094775
chr1	6112637	6113214
chr1	6208626	6209093
chr1	6221821	6222149
chr1	6239314	6239795
chr1	6240817	6241142
chr1	6259230	6260142
chr1	6266059	6266443
chr1	6268956	6269841
chr1	6278316	6278722
chr1	6295560	6296350
chr1	6300186	6300759
chr1	6305218	6305564
chr1	6319928	6320406
chr1	6320903	6321910
chr1	6320903	6321910
chr1	6330326	6330657
chr1	6364524	6364726
chr1	6413745	6414098
chr1	6419433	6420756
chr1	6419433	6420756
chr1	6431994	6432314
chr1	6452913	6454156
chr1	6474440	6474655
chr1	6483621	6484324
chr1	6483621	6484324
chr1	6498188	6498402
chr1	6500470	6500993
chr1	6507118	6508332
chr1	6507118	6508332
chr1	6507118	6508332
chr1	6508813	6509361
chr1	6515032	6515574
chr1	6535600	6536158
chr1	6544757	6545562
chr1	6546444	6546766
chr1	6550060	6551148
chr1	6557367	6557963
chr1	6577637	6577862
chr1	6580156	6580610
chr1	6614135	6614795
chr1	6639619	6640443
chr1	6660961	6661375
chr1	6661962	6663439
chr1	6661962	6663439
chr1	6661962	6663439
chr1	6664092	6664426
chr1	6673007	6674714
chr1	6673007	6674714
chr1	6684924	6685722
chr1	6694766	6695043
